name_of_drug,use_case_for_drug,effectiveness_rating,number_of_times_prescribed,positive,negative,neutral,compound,base_score
Lortab,Pain,10,11,0.0,0.248,0.752,-0.872,7.544492890288928
Tysabri,Multiple Sclerosis,1,57,0.0,0.432,0.568,-0.872,3.3706153716195173
Escitalopram,Depression,6,30,0.132,0.162,0.705,-0.5806,4.2172397564366975
Ethinyl estradiol / norethindrone,Birth Control,5,5,0.118,0.136,0.746,-0.2302,5.381957142457769
Levonorgestrel,Emergency Contraception,10,7,0.086,0.038,0.876,0.7325,6.493653305451713
Escitalopram,Obsessive Compulsive Disorde,9,9,0.106,0.06,0.835,0.759,8.753452412523746
Ledipasvir / sofosbuvir,Hepatitis C,10,10,0.179,0.098,0.723,0.9337,8.574485878929147
Contrave,Obesity,4,2,0.085,0.175,0.739,-0.2366,7.884224520147357
Modafinil,Multiple Sclerosis,9,24,0.155,0.077,0.767,0.8956,7.084225295181232
Eluxadoline,Irritable Bowel Syndrome,1,18,0.039,0.217,0.744,-0.9273,4.027554327116556
Duloxetine,Depression,10,75,0.183,0.171,0.646,0.1672,6.234082540410353
Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,7,39,0.065,0.133,0.802,-0.4019,4.433600125384408
Ethinyl estradiol / norethindrone,Birth Control,1,0,0.079,0.076,0.845,-0.2828,3.054420106447377
Paroxetine,Anxiety,10,169,0.257,0.043,0.7,0.9001,6.42571375631212
Escitalopram,Depression,2,13,0.055,0.129,0.816,-0.5574,5.533218685563548
Ketorolac,Pain,8,16,0.14,0.258,0.602,-0.924,7.887237930752728
Diphenhydramine,Insomnia,3,3,0.083,0.026,0.891,0.61,8.981228211240314
Necon 1 / 35,19</span> users found this comment helpful.,10,19,0.093,0.142,0.765,-0.2384,6.127475169414972
Ethinyl estradiol / norgestimate,Birth Control,3,2,0.06,0.267,0.673,-0.8619,8.309528553381194
Alprazolam,Anxiety,4,84,0.083,0.118,0.799,-0.5267,8.215246001460756
Canagliflozin,"Diabetes, Type 2",3,28,0.049,0.057,0.894,-0.2519,8.95031707931965
Alendronate,Osteoporosis,2,266,0.252,0.104,0.644,0.8705,7.7040517903419925
Escitalopram,Generalized Anxiety Disorde,8,43,0.199,0.095,0.706,0.8767,5.6658389673644605
Levetiracetam,Seizures,1,18,0.0,0.387,0.613,-0.9617,4.027554327116556
Methocarbamol,Opiate Withdrawal,9,91,0.155,0.0,0.845,0.6428,8.847082763800444
Alprazolam,Anxiety,10,91,0.235,0.102,0.663,0.9747,8.75091284800748
Levonorgestrel,Birth Control,1,0,0.034,0.196,0.769,-0.9722,3.054420106447377
Unisom SleepGels,Insomnia,1,24,0.0,0.0,1.0,0.0,4.583896423265005
Lo Loestrin Fe,Birth Control,5,4,0.028,0.101,0.871,-0.7845,6.916893730093862
Clarithromycin,Helicobacter Pylori Infection,1,1,0.0,0.242,0.758,-0.6948,4.319273404069607
Ranibizumab,Macular Degeneration,9,21,0.12,0.031,0.849,0.7537,8.332361850351921
Nucynta,Pain,1,14,0.0,0.147,0.853,-0.7979,5.1811107983024085
Methotrexate,Psoriasis,10,95,0.0,0.0,1.0,0.0,6.529516193731853
Levocetirizine,Allergic Rhinitis,6,9,0.071,0.098,0.831,-0.4574,6.258641899220174
Duloxetine,Depression,9,18,0.0,0.0,1.0,0.0,6.746195481627737
Levora,4</span> users found this comment helpful.,6,4,0.108,0.121,0.771,-0.2911,5.831127652885081
Lexapro,Anxiety,9,30,0.076,0.231,0.692,-0.5927,7.4518668764055755
Escitalopram,Bipolar Disorde,9,9,0.035,0.157,0.808,-0.9144,8.753452412523746
Trazodone,Insomnia,9,23,0.11,0.124,0.766,-0.1927,8.31464585548871
Klonopin,Anxiety,5,37,0.0,0.269,0.731,-0.8096,4.388925021093348
Lithium,Depression,7,10,0.128,0.065,0.807,0.8326,6.462491820716791
Prempro,Postmenopausal Symptoms,10,6,0.127,0.0,0.873,0.8885,6.1731344641759245
Levocetirizine,Allergies,10,21,0.218,0.06,0.722,0.9684,8.233307958262657
Nebivolol,Not Listed / Othe,8,1,0.033,0.096,0.871,-0.5994,5.691791949528471
Velcade,Multiple Myeloma,9,39,0.232,0.088,0.68,0.8388,7.301039252524406
Adapalene / benzoyl peroxide,Acne,9,10,0.033,0.146,0.821,-0.9475,8.671579904027597
Bactrim,Urinary Tract Infection,10,21,0.042,0.14,0.819,-0.7063,8.233307958262657
Implanon,Birth Control,7,0,0.086,0.109,0.805,-0.2363,2.2348399436105684
Chlorpromazine,Hiccups,1,0,0.087,0.169,0.744,-0.4588,3.054420106447377
Acetaminophen / aspirin / caffeine / salicylamide,Migraine,10,7,0.147,0.09,0.763,0.8353,6.493653305451713
Elavil,Insomnia,9,156,0.0,0.196,0.804,-0.296,7.0175753504626925
Frovatriptan,Migraine,7,0,0.086,0.15,0.764,-0.8296,2.2348399436105684
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,10,42,0.069,0.0,0.931,0.8225,8.05477107192397
Minastrin 24 Fe,Birth Control,4,5,0.093,0.133,0.774,-0.4847,6.930195283510674
Norvasc,Raynaud's Syndrome,7,53,0.108,0.079,0.813,0.296,6.583882046776493
Aviane,Birth Control,10,51,0.09,0.059,0.851,0.4364,6.5114336812428935
Celexa,Depression,8,52,0.176,0.136,0.688,0.4854,6.8112585205684
Levonorgestrel,Birth Control,2,2,0.138,0.146,0.715,0.1567,7.579306469455799
Xanax,Panic Disorde,10,63,0.0,0.318,0.682,-0.9114,6.131983539941591
Skyla,Birth Control,10,4,0.084,0.081,0.834,0.1135,8.358950719271757
Linaclotide,"Constipation, Chronic",7,50,0.101,0.147,0.752,-0.6479,2.38641105976376
Falmina,Birth Control,1,3,0.127,0.116,0.756,-0.1027,7.0500866311617765
Duloxetine,Generalized Anxiety Disorde,6,1,0.0,0.0,1.0,0.0,3.1679462250521717
Lyza,Birth Control,10,0,0.147,0.146,0.706,0.0569,6.109306553878857
Venlafaxine,Depression,2,11,0.207,0.052,0.74,0.9556,6.9943433157606885
Etonogestrel,Birth Control,10,0,0.181,0.13,0.689,0.8765,6.109306553878857
Delsym,Cough,8,5,0.197,0.16,0.643,0.4201,6.124057251494149
Doxylamine,Insomnia,2,44,0.0,0.193,0.807,-0.4767,5.361307862737242
Lacosamide,Seizures,9,69,0.315,0.0,0.685,0.8788,6.238341446959742
Remicade,Ankylosing Spondylitis,8,36,0.086,0.056,0.858,0.2649,6.759892234844327
Aspirin / dipyridamole,"Ischemic Stroke, Prophylaxis",1,4,0.032,0.109,0.86,-0.6597,6.548256302136768
Levonorgestrel,Birth Control,2,0,0.082,0.085,0.833,-0.0568,5.361011644211109
Alesse,Birth Control,3,9,0.0,0.0,1.0,0.0,8.891926063786732
Blisovi Fe 1.5 / 30,Birth Control,2,1,0.055,0.133,0.813,-0.8317,6.169162419744095
Baclofen,Muscle Spasm,8,57,0.134,0.144,0.722,-0.5581,5.023996481470417
Apremilast,Plaque Psoriasis,10,27,0.148,0.092,0.76,0.5278,7.921906947449914
Zoloft,Obsessive Compulsive Disorde,9,17,0.109,0.075,0.816,0.6207,8.001996457056773
Phendimetrazine,Obesity,10,13,0.075,0.125,0.8,-0.6559,6.256623555456827
Modafinil,Narcolepsy,3,42,0.079,0.05,0.871,0.5903,8.289823158329105
Mesalamine,"Crohn's Disease, Maintenance",9,0,0.078,0.049,0.873,0.4404,6.227844379644332
Durezol,Postoperative Ocular Inflammation,10,26,0.073,0.168,0.758,-0.4588,6.653815670753763
Bactrim,Otitis Media,4,12,0.024,0.212,0.764,-0.9153,6.059202612994348
Escitalopram,Generalized Anxiety Disorde,4,42,0.154,0.111,0.735,0.7735,7.863497766154578
Chantix,Smoking Cessation,8,16,0.114,0.078,0.808,0.7035,7.887237930752728
Pristiq,Panic Disorde,10,16,0.17,0.0,0.83,0.7484,8.709532579215772
Quetiapine,Insomnia,7,39,0.092,0.065,0.844,0.5647,4.433600125384408
Acetaminophen / oxycodone,Chronic Pain,9,6,0.0,0.243,0.757,-0.8248,6.290834689334499
Levonorgestrel,Emergency Contraception,8,9,0.043,0.238,0.719,-0.9843,7.828314657173991
Enbrel,Psoriasis,10,33,0.21,0.09,0.699,0.4432,7.567549647369478
Magnesium citrate,Constipation,6,8,0.096,0.052,0.852,0.638,4.878733980113638
Gabapentin,Anxiety,9,77,0.185,0.205,0.61,-0.1739,7.693988918658725
Capecitabine,Colorectal Cance,8,13,0.121,0.072,0.807,0.8571,5.008960616814497
Bactrim,Acne,9,29,0.021,0.152,0.827,-0.9578,8.567052428841432
Levofloxacin,Sinusitis,3,46,0.057,0.263,0.679,-0.9545,8.329028880914995
Gianvi,2</span> users found this comment helpful.,9,2,0.039,0.124,0.837,-0.916,8.174543577159849
Ritalin,ADHD,9,40,0.104,0.049,0.847,0.775,8.472801793248562
Geodon,Schizophrenia,7,61,0.212,0.037,0.751,0.9351,5.490741081515844
Depo-Provera,Birth Control,9,8,0.042,0.044,0.914,-0.0498,7.839952234736723
Ethinyl estradiol / norethindrone,Acne,3,2,0.075,0.12,0.805,-0.8335,8.309528553381194
Budesonide / formoterol,moterol),5,7,0.079,0.124,0.798,-0.7742,4.4152596781425215
Etonogestrel,Birth Control,10,5,0.1,0.107,0.793,-0.2609,7.170997223562014
Levomilnacipran,Major Depressive Disorde,8,26,0.142,0.064,0.794,0.8481,5.502238893186651
Trazodone,Insomnia,1,25,0.109,0.101,0.791,-0.2024,3.0834988504521013
Lexapro,Generalized Anxiety Disorde,9,104,0.042,0.249,0.709,-0.9718,8.793774570550756
Mirena,Birth Control,8,3,0.077,0.07,0.854,-0.1341,7.927925645495847
Linzess,"Constipation, Chronic",1,41,0.018,0.245,0.738,-0.9861,7.046267898889967
Etonogestrel,Birth Control,1,0,0.136,0.204,0.66,-0.8254,3.054420106447377
Vyvanse,ADHD,9,63,0.149,0.0,0.851,0.8842,6.250221396483048
Zolpidem,Insomnia,3,23,0.213,0.172,0.615,0.2516,8.450438066487438
Sulfacetamide sodium / sulfur,Rosacea,10,16,0.244,0.0,0.756,0.6369,8.709532579215772
Divalproex sodium,Epilepsy,3,18,0.058,0.147,0.794,-0.774,6.874697770645459
Gabapentin,Anxiety,10,86,0.081,0.206,0.713,-0.9404,8.034846911466703
Paroxetine,Depression,7,37,0.071,0.109,0.82,-0.7839,3.1120218579161985
Metoclopramide,Gastroparesis,10,2,0.048,0.13,0.823,-0.5423,8.074493292790843
Harvoni,Hepatitis C,9,52,0.157,0.12,0.723,0.9018,7.862005840803523
Paxil CR,Generalized Anxiety Disorde,10,75,0.015,0.142,0.844,-0.9024,6.234082540410353
Sertraline,Bipolar Disorde,10,11,0.22,0.152,0.629,0.9184,7.544492890288928
Gabapentin,Anxiety,7,0,0.191,0.115,0.693,0.7102,2.2348399436105684
Tioconazole,Vaginal Yeast Infection,5,2,0.038,0.06,0.901,-0.3894,6.562017771753732
Etonogestrel,Birth Control,5,1,0.169,0.062,0.769,0.8789,4.878171957939991
Buprenorphine / naloxone,Opiate Dependence,9,66,0.142,0.0,0.858,0.7884,8.852988629474675
Topamax,Migraine Prevention,8,34,0.079,0.184,0.738,-0.9476,7.748384256415353
Phenelzine,Depression,9,26,0.265,0.064,0.672,0.8644,6.765825685915322
Monistat 1-Day or Night Combination Pack,Vaginal Yeast Infection,1,13,0.025,0.207,0.768,-0.9038,3.3477247532480425
Mirena,Birth Control,9,13,0.179,0.146,0.675,0.6446,6.3732589822241685
Adapalene,Acne,10,42,0.19,0.044,0.766,0.9706,8.05477107192397
Toradol,Pain,1,12,0.112,0.236,0.652,-0.7573,3.5351764941555603
Quetiapine,Post Traumatic Stress Disorde,10,12,0.077,0.064,0.859,0.1531,6.355865537958907
Tri-Sprintec,Birth Control,10,3,0.064,0.087,0.849,-0.0258,8.745991303284766
Naproxen,Back Pain,9,31,0.088,0.036,0.876,0.7532,6.361917241451971
Hydromorphone,Pain,4,2,0.058,0.194,0.748,-0.8953,7.884224520147357
Dextroamphetamine,ADHD,10,9,0.141,0.106,0.752,0.5356,8.656796740464273
Lisinopril,High Blood Pressure,5,49,0.158,0.107,0.735,0.7552,5.350184493848231
Xanax XR,Anxiety,10,24,0.178,0.101,0.721,0.705,6.975487703374523
Dulcolax,Constipation,9,3,0.076,0.068,0.856,0.2549,8.842186219376321
Tessalon Perles,Cough,10,65,0.203,0.049,0.747,0.8157,8.25088976727308
Trulicity,"Diabetes, Type 2",1,5,0.064,0.041,0.895,0.3321,4.884977122534999
Hydrocodone,Not Listed / Othe,9,19,0.0,0.0,1.0,0.0,6.245772451546388
Losartan,High Blood Pressure,1,123,0.051,0.218,0.731,-0.9761,6.901724547141719
Orlistat,Obesity,10,144,0.199,0.232,0.569,0.2244,6.313462902459913
Trulicity,"Diabetes, Type 2",8,3,0.071,0.067,0.861,0.296,7.927925645495847
Homatropine / hydrocodone,Cough,6,3,0.0,0.0,1.0,0.0,6.383855104378132
Altace,High Blood Pressure,10,86,0.196,0.116,0.688,0.3612,8.034846911466703
Prozac,Anxiety and Stress,5,19,0.158,0.091,0.751,0.7783,3.8425829583153654
Klonopin,Anxiety,1,123,0.157,0.086,0.757,0.7933,6.901724547141719
TriNessa,Abnormal Uterine Bleeding,9,6,0.268,0.035,0.697,0.9899,6.290834689334499
Tussionex Pennkinetic,Cold Symptoms,5,5,0.141,0.207,0.652,-0.4438,5.381957142457769
Zolpidem,Insomnia,9,19,0.257,0.06,0.683,0.9016,6.245772451546388
Escitalopram,Depression,6,32,0.203,0.045,0.753,0.8397,2.033711838126182
Clindamycin,Sinusitis,9,67,0.124,0.084,0.792,0.7266,8.296692804225488
Diprivan,Anesthesia,10,24,0.0,0.524,0.476,-0.296,6.975487703374523
Itraconazole,"Onychomycosis, Toenail",10,3,0.087,0.052,0.861,0.6697,8.745991303284766
Implanon,Birth Control,10,9,0.134,0.057,0.809,0.7881,8.656796740464273
Capzasin-P,Osteoarthritis,1,5,0.0,0.06,0.94,-0.4724,4.884977122534999
Carbamazepine,Trigeminal Neuralgia,10,12,0.125,0.402,0.474,-0.7532,6.355865537958907
Belsomra,Insomnia,1,16,0.172,0.021,0.808,0.9637,7.003408356848098
Levonorgestrel,Birth Control,9,2,0.084,0.067,0.849,0.0488,8.174543577159849
Fentanyl,Pain,9,81,0.067,0.085,0.848,-0.102,6.5732225511946485
Topiramate,Bipolar Disorde,8,45,0.147,0.152,0.701,-0.0772,5.717921805828719
Spironolactone,Acne,9,15,0.053,0.116,0.832,-0.8016,8.580480617777244
Plan B One-Step,Emergency Contraception,10,0,0.0,0.0,1.0,0.0,6.109306553878857
Etonogestrel,Birth Control,9,7,0.244,0.097,0.659,0.9018,6.607445106972985
Axiron,"Hypogonadism, Male",4,26,0.079,0.025,0.895,0.5106,6.378968673553164
Seroquel,Insomnia,5,19,0.0,0.138,0.862,-0.6249,3.8425829583153654
Rosuvastatin,High Cholesterol,1,77,0.105,0.217,0.677,-0.8984,5.4996874815261805
Ceftriaxone,Pneumonia,10,20,0.225,0.0,0.775,0.5826,6.998161370910088
Valsartan,High Blood Pressure,1,47,0.143,0.23,0.627,-0.3612,7.053457112018454
Etanercept,Ankylosing Spondylitis,7,21,0.021,0.141,0.838,-0.8018,5.9949043605398495
Lisinopril,High Blood Pressure,10,51,0.081,0.265,0.654,-0.5859,6.5114336812428935
Naproxen,"Gout, Acute",9,12,0.089,0.144,0.767,-0.5054,6.471278979163006
Amphetamine / dextroamphetamine,ADHD,6,35,0.24,0.271,0.489,-0.1779,6.246702630110371
Loestrin 24 Fe,Acne,3,1,0.075,0.133,0.792,-0.6718,7.049146669046808
Effexor XR,Depression,4,25,0.101,0.123,0.776,-0.5108,5.808448076199343
Zoledronic acid,Prevention of Osteoporosis,10,66,0.215,0.0,0.785,0.6867,8.756848808764945
Rizatriptan,Migraine,9,6,0.248,0.097,0.655,0.878,6.290834689334499
Tegretol,Bipolar Disorde,10,63,0.151,0.111,0.738,0.4523,6.131983539941591
Quetiapine,Bipolar Disorde,1,31,0.133,0.146,0.721,-0.1779,3.325544122209928
Clonidine,Tourette's Syndrome,3,2,0.026,0.0,0.974,0.1531,8.309528553381194
Ethinyl estradiol / norgestimate,Acne,2,0,0.039,0.143,0.818,-0.9271,5.361011644211109
Ethinyl estradiol / norelgestromin,Birth Control,8,3,0.041,0.079,0.88,-0.3595,7.927925645495847
Atenolol,Anxiety,1,16,0.014,0.055,0.931,-0.5346,7.003408356848098
Methadone,Pain,10,191,0.084,0.124,0.791,-0.4939,8.533899084952498
Olopatadine,Seasonal Allergic Conjunctivitis,10,3,0.194,0.053,0.754,0.9149,8.745991303284766
Lurasidone,Bipolar Disorde,1,10,0.147,0.216,0.637,0.1729,6.8294758571584
Linzess,Irritable Bowel Syndrome,9,63,0.08,0.048,0.872,0.5729,6.250221396483048
Belsomra,Insomnia,2,23,0.14,0.079,0.781,0.8387,7.733765408633679
Generess Fe,Birth Control,10,11,0.092,0.055,0.853,0.629,7.544492890288928
Duloxetine,Depression,9,245,0.056,0.105,0.84,-0.3612,6.2293984723422335
Pneumococcal 13-valent vaccine,Pneumococcal Disease Prophylaxis,5,7,0.072,0.279,0.65,-0.9387,4.4152596781425215
Antabuse,Alcohol Dependence,9,85,0.011,0.084,0.905,-0.8714,8.835896871096049
Victoza,"Diabetes, Type 2",3,24,0.147,0.167,0.686,0.1027,7.213925085041497
Ortho Evra,Birth Control,8,48,0.162,0.129,0.709,0.3182,7.47592285361033
Ortho Evra,Birth Control,8,14,0.159,0.095,0.746,0.8516,6.3583124972520615
Bacitracin,Bacterial Skin Infection,1,8,0.053,0.08,0.867,-0.6973,5.707023638890452
Provera,Abnormal Uterine Bleeding,8,23,0.036,0.102,0.862,-0.8773,7.331694342495978
Chantix,Smoking Cessation,10,9,0.275,0.0,0.725,0.5859,8.656796740464273
Gabapentin,Postherpetic Neuralgia,9,23,0.089,0.132,0.779,-0.765,8.31464585548871
Ethinyl estradiol / norgestimate,Birth Control,7,11,0.211,0.151,0.638,0.7077,4.989932251640194
Hydralazine,High Blood Pressure,1,16,0.085,0.242,0.674,-0.9702,7.003408356848098
Mirtazapine,Insomnia,1,2,0.097,0.0,0.903,0.7269,6.1693738810759235
Prozac,Obsessive Compulsive Disorde,9,59,0.104,0.156,0.74,-0.5492,8.59361359002137
Levora,Birth Control,9,5,0.0,0.134,0.866,-0.8128,7.277927183306573
Mirena,Birth Control,8,8,0.172,0.146,0.682,-0.104,6.785657415594868
Keppra XR,Seizures,1,17,0.0,0.477,0.523,-0.7501,5.933027117967472
Endocet,Pain,9,23,0.04,0.066,0.895,-0.3182,8.31464585548871
Lexapro,Depression,7,118,0.057,0.153,0.79,-0.7681,4.605059027361533
Zoloft,Social Anxiety Disorde,10,68,0.08,0.168,0.753,-0.7789,6.952928251886957
Belsomra,Insomnia,2,20,0.059,0.045,0.895,0.0,6.382686173068495
Topiramate,Migraine Prevention,5,15,0.043,0.085,0.872,-0.8469,7.069598344199332
Oxycodone,Pain,9,12,0.041,0.091,0.868,-0.5574,6.471278979163006
Efinaconazole,"Onychomycosis, Toenail",2,2,0.078,0.116,0.806,-0.3147,7.579306469455799
Desvenlafaxine,Depression,9,36,0.25,0.127,0.623,0.9726,7.817778680932112
Escitalopram,Bipolar Disorde,8,21,0.059,0.177,0.764,-0.7314,7.3518843048542895
Rituximab,Rheumatoid Arthritis,10,85,0.121,0.074,0.805,0.7608,8.739669778816722
Clindamycin,Bacterial Vaginitis,2,14,0.0,0.115,0.885,-0.5423,6.799916942056079
Levonorgestrel,Birth Control,9,0,0.09,0.156,0.754,-0.7881,6.227844379644332
Methocarbamol,Opiate Withdrawal,10,341,0.199,0.098,0.703,0.9388,7.726477217134128
Belviq,Weight Loss,9,2,0.053,0.071,0.876,-0.1179,8.174543577159849
Lo Loestrin Fe,Birth Control,5,13,0.026,0.069,0.905,-0.6117,4.049941991524834
Sudafed PE Pressure + Pain,Sinus Symptoms,4,0,0.234,0.165,0.601,0.2617,5.793133906306418
Azelastine,Allergic Rhinitis,10,20,0.082,0.033,0.885,0.6855,6.998161370910088
Ambien,Insomnia,10,24,0.166,0.034,0.8,0.8908,6.975487703374523
Armodafinil,Narcolepsy,9,9,0.808,0.0,0.192,0.6369,8.753452412523746
Polyethylene glycol 3350 with electrolytes,Bowel Preparation,3,5,0.069,0.219,0.712,-0.8625,7.408418703059745
Zofran,Nausea/Vomiting,9,13,0.101,0.025,0.874,0.6395,6.3732589822241685
Plan B,Emergency Contraception,3,0,0.017,0.049,0.933,-0.4389,6.35504055965443
Vortioxetine,Depression,10,119,0.1,0.12,0.78,0.4595,6.223464896580231
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,9,16,0.157,0.0,0.843,0.3818,8.805914067059051
Diclofenac,Period Pain,2,2,0.116,0.246,0.638,-0.7845,7.579306469455799
Depakote,Migraine Prevention,5,32,0.114,0.099,0.788,0.2527,4.228096268164698
Desvenlafaxine,Depression,9,12,0.204,0.096,0.699,0.8384,6.471278979163006
Cetirizine,Urticaria,10,62,0.101,0.182,0.717,-0.7227,6.6143736161185185
Certolizumab,"Crohn's Disease, Maintenance",10,37,0.153,0.167,0.68,0.0258,6.476183149656864
Plan B One-Step,Emergency Contraception,10,14,0.143,0.103,0.754,0.7678,7.369878171891573
Toprol-XL,High Blood Pressure,4,54,0.045,0.057,0.897,-0.0352,8.396741253293325
Viibryd,Depression,5,15,0.257,0.079,0.664,0.9613,7.069598344199332
Bismuth subcitrate potassium / metronidazole / tetracycline,Helicobacter Pylori Infection,8,28,0.161,0.07,0.769,0.6808,7.893476027714112
Allopurinol,Gout,10,83,0.088,0.104,0.808,-0.0258,7.217674206269202
Aftera,Emergency Contraception,10,10,0.073,0.066,0.861,0.4561,8.574485878929147
Buprenorphine / naloxone,Opiate Dependence,1,15,0.052,0.096,0.852,-0.5951,6.71052568386338
Prozac,Depression,6,47,0.0,0.19,0.81,-0.3291,6.387537605211035
Ethinyl estradiol / norethindrone,Birth Control,10,7,0.398,0.214,0.388,0.4404,6.493653305451713
Amitriptyline,Pain,10,74,0.0,0.286,0.714,-0.984,7.323018196415763
Xanax,Depression,5,50,0.0,0.231,0.769,-0.9052,3.90429950448583
Pseudoephedrine,Nasal Congestion,1,7,0.0,0.31,0.69,-0.6467,3.7845039965740233
Temazepam,Insomnia,1,22,0.142,0.075,0.783,0.4738,7.064415428840003
Etonogestrel,Birth Control,10,3,0.206,0.129,0.665,0.9286,8.745991303284766
Propafenone,Atrial Fibrillation,9,6,0.0,0.054,0.946,-0.7043,6.290834689334499
Etonogestrel,Birth Control,3,3,0.065,0.091,0.844,-0.1901,8.981228211240314
Risperdal,Mania,9,23,0.156,0.105,0.739,0.4215,8.31464585548871
Previfem,Birth Control,5,6,0.028,0.09,0.882,-0.4411,3.916649591116808
Aripiprazole,Bipolar Disorde,10,114,0.056,0.213,0.731,-0.7568,6.694217494283552
Amitriptyline,Anxiety and Stress,10,335,0.208,0.036,0.757,0.973,8.064691302255094
Skyla,Birth Control,9,1,0.247,0.108,0.645,0.9591,6.920059185010526
Chateal,Birth Control,9,3,0.162,0.024,0.813,0.9682,8.842186219376321
Oxymorphone,Pain,1,25,0.026,0.105,0.869,-0.7497,3.0834988504521013
Ethinyl estradiol / norgestimate,Birth Control,1,6,0.033,0.285,0.682,-0.9925,3.1839555369340493
Arthrotec,Osteoarthritis,7,71,0.113,0.199,0.688,-0.8459,5.582680659068166
Primatene Mist,"Asthma, acute",9,22,0.018,0.069,0.912,-0.5964,8.853339021798474
Bydureon,"Diabetes, Type 2",7,14,0.054,0.016,0.93,0.5774,4.717421631941732
Infliximab,Ankylosing Spondylitis,8,26,0.028,0.042,0.93,-0.1761,5.502238893186651
Alesse,Birth Control,5,4,0.0,0.287,0.713,-0.5313,6.916893730093862
Abilify,Depression,1,69,0.044,0.186,0.77,-0.9463,3.076293611836467
Brilinta,Acute Coronary Syndrome,7,15,0.082,0.164,0.754,-0.6433,6.338505519118186
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,5,5,0.06,0.128,0.813,-0.878,5.381957142457769
Etonogestrel,Birth Control,10,0,0.061,0.13,0.809,-0.2846,6.109306553878857
Levonorgestrel,Emergency Contraception,10,2,0.131,0.121,0.748,-0.1207,8.074493292790843
Ethinyl estradiol / norethindrone,Birth Control,5,4,0.055,0.273,0.672,-0.959,6.916893730093862
Phenytoin,Seizures,9,32,0.04,0.046,0.914,-0.079,6.485994130094867
Liletta,Birth Control,6,11,0.105,0.026,0.869,0.6523,4.559887581289048
Levonorgestrel,Birth Control,9,102,0.0,0.0,1.0,0.0,7.521502867572579
Bupropion / naltrexone,Obesity,8,4,0.155,0.08,0.765,0.4659,7.493869596318778
Eluxadoline,Irritable Bowel Syndrome,10,13,0.041,0.124,0.836,-0.8672,6.256623555456827
Capsaicin,Osteoarthritis,9,40,0.0,0.121,0.879,-0.7096,8.472801793248562
Lo Loestrin Fe,Birth Control,1,4,0.065,0.094,0.84,-0.4926,6.548256302136768
Rasagiline,Parkinson's Disease,10,68,0.0,0.084,0.916,-0.5256,6.952928251886957
Ampyra,Multiple Sclerosis,8,127,0.0,0.0,1.0,0.0,6.206858882091111
Paroxetine,Depression,10,103,0.089,0.075,0.836,0.1063,8.50899652881546
Alprazolam,Panic Disorde,10,117,0.25,0.12,0.63,0.7031,8.44149185690488
Buprenorphine,Chronic Pain,4,19,0.122,0.143,0.736,0.1144,5.812789583305314
Zolpidem,Insomnia,2,15,0.136,0.0,0.864,0.6705,8.025552889864404
Maxalt-MLT,Migraine,10,22,0.075,0.0,0.925,0.3818,8.757200984608478
Methotrexate,Psoriasis,9,14,0.098,0.06,0.841,0.8147,7.475096634526175
Miconazole,Vaginal Yeast Infection,9,5,0.152,0.121,0.727,0.3506,7.277927183306573
Lorcaserin,Weight Loss,7,23,0.0,0.062,0.938,-0.7003,5.970012715527639
Azithromycin,Sinusitis,6,11,0.071,0.156,0.773,-0.8739,4.559887581289048
Ethinyl estradiol / norethindrone,Birth Control,10,9,0.171,0.048,0.781,0.9178,8.656796740464273
Efinaconazole,"Onychomycosis, Toenail",10,23,0.063,0.056,0.881,0.2382,8.215482906027418
Dexlansoprazole,Barrett's Esophagus,9,9,0.279,0.0,0.721,0.7003,8.753452412523746
Viibryd,Depression,8,31,0.139,0.126,0.735,0.7737,4.994446104586797
Soma,Muscle Spasm,10,31,0.106,0.24,0.653,-0.7783,6.245137350785216
Ziprasidone,Bipolar Disorde,1,14,0.03,0.282,0.688,-0.9875,5.1811107983024085
Ceftin,Sinusitis,9,63,0.198,0.09,0.712,0.9383,6.250221396483048
Buspirone,Anxiety,8,19,0.214,0.024,0.762,0.9493,4.844844184750362
Adderall,ADHD,10,15,0.243,0.061,0.696,0.7425,8.482883456649951
Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1,15,0.061,0.043,0.897,0.0472,6.71052568386338
Ethinyl estradiol / norgestimate,Birth Control,8,4,0.125,0.107,0.768,-0.2481,7.493869596318778
Contrave,Obesity,10,17,0.172,0.049,0.779,0.9621,7.900790082378434
Cymbalta,Diabetic Peripheral Neuropathy,9,62,0.156,0.082,0.763,0.8914,6.726812515027324
Sertraline,Depression,8,5,0.0,0.136,0.864,-0.7227,6.124057251494149
Methadone,Chronic Pain,9,98,0.057,0.132,0.811,-0.8822,8.648966712779009
Dulcolax,Constipation,1,10,0.039,0.273,0.689,-0.9219,6.8294758571584
Cefuroxime,Upper Respiratory Tract Infection,9,28,0.167,0.0,0.833,0.3818,8.811472745889803
Triumeq,HIV Infection,10,16,0.108,0.035,0.857,0.6801,8.709532579215772
Mirena,Birth Control,1,0,0.069,0.129,0.802,-0.4582,3.054420106447377
Dulaglutide,"Diabetes, Type 2",5,10,0.0,0.238,0.762,-0.7351,7.181786620054445
